her_name,list_name,list_pos,bloc_name,bloc_start,bloc_end,bloc2_name,bloc2_start,bloc2_end,education,education_year,pol_history,session,session_id
Ahmed Ameri,Mouvement Ennahdha,3ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,"Cours par correspondance en raffinage du gaz naturel dans un établissement privé en Belgique (1977) Diplômes de formation en spécialité du centre de formation de Khelidia, Tunis (1982)",1977 1982,Traducteur auprès d'étudiants américains à l'Institut des Régions Arides de Medenine (1974 - 1976) Chef d'équipe spécialisée en raffinage du gaz dans les champs d' El Borma auprès de la Société Tunisienne de l'Electricité et du Gaz (1976) Interruption du travail pendant 20 ans en raison des procès de 1987 et la reprise en vertu de l'amnistie générale de 2011,Quatrième session parlementaire ,1
Hssan Amri,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Formation libre - technicien informatique,"NA",Membre du Conseil National du mouvement Nidaa Tounes (2012),Quatrième session parlementaire ,1
Noura Amri,Mouvement Nidaa Tounes,6ème sur la liste,Mouvement Nidaa Tounes,2015-07-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Ammar Amroussia,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Mbarka Aouania ,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,Baccalauréat littéraire (1988) Des études supérieures en Droit à la faculté de Droit et des Sciences Politiques de Tunis,1988 NA,,Quatrième session parlementaire ,1
Jihen Aouichi,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA, ,NA NA,  ,Quatrième session parlementaire ,1
Sahbi Atig,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,"Baccalauréat scientifique et technologique  A rejoint la  Faculté des Sciences mathématiques, physiques et naturelles de Tunis Licence de théologie à l’université de la Zeitouna (1985) Diplôme d'études approfondies porté sur l’œuvre de Mohamed Tahar Ben Achour",NA NA 1985 NA,A rejoint le Mouvement de la Tendance Islamique puis le mouvement Ennahdha (1975),Quatrième session parlementaire ,1
Wafa Attia,Mouvement Ennahdha,4ème sur la liste,Mouvement Ennahdha,2015-02-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Chafik Ayadi,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,"Baccalauréat au lycée secondaire 15 novembre, route El Ain (1976) A étudié les ressources humaines à la faculté de gestion de Sfax A étudié l'histoire à la faculté des lettres en Irak ensuite à la faculté des lettres de la Mannouba",15 NA NA,A rejoint l'enseignement au secondaire en 1984,Quatrième session parlementaire ,1
Chaker Ayadi,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Fathi Ayadi,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Yassine Ayari,Indépendant,Tête de liste,Independent,NA,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Dalila Babba,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Licence en droit de la Faculté de Droit de Sousse  A poursuivi ses études en droit privé à l'Université de Grenoble ,NA NA,Militante politique auprès du mouvement Ennahdha dès l'âge de 15 ans,Quatrième session parlementaire ,1
Kalthoum Badreddine,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat au lycée secondaire 20 Mars 1956 de Sfax (1982) Licence en Droit (1986) Equivalence de l'aptitude à la profession d'avocat en validant la première année de master (1987),20 1986 1987,Elue à l'Assemblée Nationale Constituante sur la liste du mouvement Ennahdha de la circonscription Sfax 2 (2011 - 2014) Membre du conseil de la Choura du mouvement Ennahdha,Quatrième session parlementaire ,1
Chakib Bani,Mouvement Nidaa Tounes,4ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Walid Banneni,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme de l'Ecole Nationale d'Administration en 1976 Diplôme de gestion des entreprises,1976 NA,Chef de service au ministère du Transport,Quatrième session parlementaire ,1
Salah Bargaoui,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,,,,Quatrième session parlementaire ,1
Tarek Barrak,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Souad Bayouli,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Mohamed Ali Bedoui,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Ali Belakhoua,Union Patriotique Libre,Tête de liste,Union Patriotique Libre,2014-12-20,2016-04-20,Mouvement Nidaa Tounes,2016-06-20,NA,Baccalauréat (1983) Diplôme d'ingénieur électrique de l'Université du Missouri aux États-Unis d'Amérique (1987),1983 1987,Directeur Général de la Société Starz Electronics depuis 2011,Quatrième session parlementaire ,1
Abdelmoumen Belanes,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Haykel Belgacem,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,  ,NA NA NA,,Quatrième session parlementaire ,1
Mondher Belhaj Ali,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Diplômé de la Faculté de Droit et des Sciences Economiques de Tunis,"NA",Membre du comité exécutif du mouvement Nidaa Tounes depuis Septembre 2012,Quatrième session parlementaire ,1
Bochra Belhaj Hamida,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-03-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-04-20,NA,Baccalauréat en Lettres au lycée secondaire El Omrane (1975) Diplôme d'études supérieures en droit privé de la faculté de droit et des sciences politiques de Tunis (1980) Certificat d'Aptitude à la Profession d'Avocat (1981),1975 1980 1981,Avocate stagiaire (1981) Avocate auprès de la cour de cassation (1992),Quatrième session parlementaire ,1
Moez Belhaj Rhouma,Mouvement Ennahdha,3ème sur la liste,Mouvement Ennahdha,2015-02-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Lakhdhar Belhouchat,Mouvement Ennahdha,5ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat sciences et mathématiques au lycée technique de Medenine (1985),1985,Maitre d'application principal depuis 1985,Quatrième session parlementaire ,1
Aroua Ben Abbas,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Najia Ben Abdelhafidh,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2017-04-20,Bloc National,2017-05-20,NA,Diplôme en langue française et civilisation arabo-musulmane,"NA",,Quatrième session parlementaire ,1
Noureddine Ben Achour,Union Patriotique Libre,Tête de liste,Union Patriotique Libre,2014-12-20,2016-04-20,Mouvement Nidaa Tounes,2016-05-20,NA,Baccalauréat en Lettres au lycée secondaire de Beja (1983) Licence en droit de la Faculté de Droit et des Sciences Politiques d'Alger (1987),1983 1987,Agriculteur depuis 1990 Avocat depuis 2014,Quatrième session parlementaire ,1
Mustapha Ben Ahmed,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,,"NA",,Quatrième session parlementaire ,1
Khawla Ben Aicha,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Licence Fondamentale en Gestion de l'Institut des Hautes Etudes Commerciales de Carthage (2010) Master en Marketing et relations Internationales de l'ESGCI (2012) MBA en Marketing et Publicité de l'ESG (2012) Master en Langues et Cultures Etrangères de l'Université de Lorraine(2013) Doctorat en sciences de l'information et de la communication de l'Université de Lorraine (en cours),2010 2012 2012 2013 NA,Consultante en marketing et communication Enseignante assistante à l'université de Lorraine,Quatrième session parlementaire ,1
Nadhir Ben Ammou,Mouvement Ennahdha,3ème sur la liste,Mouvement Ennahdha,2014-12-20,2017-09-20,Allégeance à la Patrie,2018-04-20,NA,Baccalauréat littéraire au lycée secondaire Ali Balhawen de Nabeul (1978) Licence en droit privé et en sciences criminelles de la Faculté de Droit et des Sciences Politiques de Tunis (1982) Diplôme d'études approfondies en droit privé et en sciences criminelles de la Faculté de Droit et des Sciences Politiques de Tunis (1984) Agrégation en droit privé et en sciences criminelles (1996) Doctorat d'Etat en droit privé et en sciences criminelles de la Faculté de Droit et des Sciences Politiques de Tunis (1996),1978 1982 1984 1996 1996,Assistant d'enseignement supérieur à la Faculté de Droit et des Sciences Politiques de Tunis (1984 - 1996) Avocat auprès de la cour de cassation depuis 1985 Professeur de l'enseignement supérieur à la Faculté de Droit et des Sciences Politiques de Tunis (1996 - 2014) Chef du département de droit privé à la Faculté de Droit et des Sciences Politiques de Tunis (2003 - 2005) Vice-doyen et directeur des études à la Faculté de Droit et des Sciences Politiques de Tunis (2008 - 2011),Quatrième session parlementaire ,1
Bechir Ben Amor,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Diplôme d'études supérieures en ingénierie,"NA",,Quatrième session parlementaire ,1
Hedi Ben Braham,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat en économie au lycée des graçons de Sousse (1970) Licence en sciences économiques et gestion à la Faculté de Droit et des Sciences Economiques de Tunis (1974) Diplôme d'études approfondies en économie et gestion à la Faculté de Droit et des Sciences Economiques de Tunis (1981),1970 1974 1981,Professeur d'enseignement supérieur en économie et gestion à l'Ecole Supérieure d'Agriculture de Mograne (1984 - 1994) Chef de service des affaires administratives et financières à l'Institut d'Economie Quantitative (1975 - 1978) Chef de service de contrôle de gestion à la Société Nationale de Cellulose et de Papier Alfa (1979 - 1981) Expert en études économiques et de gestion auprès de CEGOS et SAMEF (bureaux d'études) 1982- 1986 Directeur financier et membre du comité de contrôle à la Société Tunisienne des Industries de Pneumatiques (STIP) en Tunisie et au Maroc (1986 - 2011),Quatrième session parlementaire ,1
Heger Ben Cheikh Ahmed,Afek Tounes,2ème sur la liste,Afek Tounes et l'appel des tunisiens à l'étranger,2016-09-20,2018-04-20,Allégeance à la Patrie,2018-05-20,NA,,,,Quatrième session parlementaire ,1
Abdelkader Ben Dhifallah,Union Patriotique Libre,Tête de liste,Union Patriotique Libre,2014-12-20,NA,NA,NA,NA,Baccalauréat mathématiques et technique au lycée technique de Nabeul (1995) Diplôme de technicien supérieur en économie et gestion de l'Institut Supérieur des Études Technologiques de Sfax (1998),1995 1998,Agriculteur depuis 1998,Quatrième session parlementaire ,1
Mahbouba Ben Dhifallah,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Faouzia Ben Fodha,Union Patriotique Libre,Tête de liste,Union Patriotique Libre,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Ramzi Ben Fraj,Mouvement Ennahdha,4336 voix,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Sahbi Ben Fraj,Mouvement Nidaa Tounes,5ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Doctorat en cardiologie,"NA",Membre du bureau exécutif de l'association tunisienne de prévention des accidents de la route (2004 - 2008),Quatrième session parlementaire ,1
El Khansa Ben Harrath,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Rabha Ben Hassine,Mouvement Nidaa Tounes,4ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Maitrise en philosophie,"NA",,Quatrième session parlementaire ,1
Ibtihej Ben Helal,Mouvement Nidaa Tounes,4ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Emna Ben Hmayed,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Ismail Ben Mahmoud,Mouvement Nidaa Tounes,3ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,"Baccalauréat en Lettres au lycée de Ben Arous (1987) Premier cycle en langue arabe à la Faculté des Lettres, des Arts et des Humanités de la Manouba (1990) Formation en économie et commerce à Sfax (1991)",1987 1990 1991,"Instituteur de français à Skhira, Sfax (1990) Chef de service chargé du département d'achats et de financement dans une société de stockage et distribution de pétrole à Skhira (1992- 2014)",Quatrième session parlementaire ,1
Imen Ben Mhamed,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme de l’Université de Rome dans le domaine de la coopération internationale et du développement économique  Diplôme de l’Institut Tunisien de Politique relatif au centre d'études méditerranéennes et internationales,NA NA,Elue à l'Assemblée Nationale Constituante sur la liste du mouvement Ennahdha de la circonscription de l'Italie (2011 - 2014) Membre du Conseil Maghrébin de la Choura,Quatrième session parlementaire ,1
Mohamed Fadhel Ben Omrane,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Baccalauréat en sciences et mathématiques au lycée secondaire de Metlaoui (1983) Maitrise en sciences économiques de la faculté des sciences économiques et de gestion de Sfax (1988) Diplôme d'études supérieures en finances publiques de l'Institut d'Economie Douanière et Fiscale d'Alger (1990)  Diplôme d'études supérieures en droit de commerce international de la faculté des sciences juridiques et sociales de Tunis II (1991) Doctorat en sciences juridiques de l'Université de Paris IX (1996) Maitrise en Droit privé de l'Université de Paris I (2002) Master en création d'entreprises et gestion de renouvellement de l'Ecole Nationale d'Ingénieurs de Tunis (2004),1983 1988 1990 1991 1996 2002 2004,Chef de service de l'audit des comptes des établissements publics au sein du ministère des finances (1990 - 1995) Directeur chargé de mission au sein du cabinet du ministre du développement économique (1996 - 2001) Enseignant contractuel à l'Institut Supérieur de Comptabilité chargé de la matière relative à l'impôt pour les candidats à l'obtention de diplôme d'expertise comptable (1997 - 2004) Enseignant contractuel à la faculté des sciences juridiques et sociales de Tunis II pour les étudiants de troisième cycle en matière de droit fiscal comparé euro-maghreb (1997 - 2004) Enseignant à l'Institut Supérieur de la Profession d'Avocat Avocat spécialisé en droit des affaires et en droit fiscal et financier depuis 2004,Quatrième session parlementaire ,1
Ibrahim Ben Said,Congrès Pour la République,Tête de liste,Bloc Démocrate,2016-10-20,NA,NA,NA,NA, ,NA NA,     ,Quatrième session parlementaire ,1
Ali Ben Salem,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Président de la section de Bizerte de la Ligue Tunisienne de Défense des Droits de l'Homme Président de l'amicale nationale des anciens combattants Membre de l'Association Tunisienne des Combattants pour l'Indépendance Membre de l'Organisation Amnesty International en Tunisie Trésorier de l'organisation tunisienne de lutte contre la torture,NA NA NA NA NA,,Quatrième session parlementaire ,1
Mohamed Ben Salem,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Diplôme d'ingénieur en agriculture de l'Ecole Supérieure des Ingénieurs de l'Equipement Rural de Medjez El Bab (1979) Diplôme d'ingénieur hydraulique de l'Ecole Supérieure des Ingénieurs de Strasbourg en France (1984),1979 1984,"Enseignant à l'Ecole Supérieure d'Ingénieurs de Mograne, Zaghouan (1984) Enseignant à l'Ecole Supérieure d'Ingénieurs de Mograne, Zaghouan (1984)",Quatrième session parlementaire ,1
Mohamed Ben Souf,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Ali Bennour,Afek Tounes,Tête de liste,Afek Tounes et l'appel des tunisiens à l'étranger,2014-12-20,NA,NA,NA,NA,Baccalauréat au lycée secondaire Fattouma Bourguiba de Monastir Licence en sciences politiques et relations internationales - Belgique Master en droit international - Belgique,NA NA NA,Chercheur à l'institut national des recherches scientifiques en Belgique Consultant auprès des Nations Unies et était en charge de missions dans certains pays du moyen orient Plusieurs expériences dans la gestion des entreprises ainsi que leur création dans les secteurs du textile et de l'agriculture,Quatrième session parlementaire ,1
Mohamed Kamel Besbes,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Slim Besbes,Mouvement Ennahdha,3ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat littéraire au lycée Khaznadar Bardo (1982) Maîtrise en administration économique et sociale de l'université de Toulouse 1 Capitole (1988) Diplôme d’études supérieures en sciences sociales e l'université de Toulouse 1 Capitole (1989) Diplôme d’études supérieures spécialisées en droit fiscal de la faculté des sciences sociales de Toulouse (1990) Diplôme d’études approfondies en droit des affaires de la faculté des sciences sociales de Toulouse (1990) Doctorat d’État en droit public de la Faculté de Droit et des Sciences politiques de Tunis (2005) Agrégation en droit public obtenue au concours national tunisien pour l’accès au grade de maître de conférence (2006),1982 1 1 1990 1990 2005 2006,Maitre de conférence à l'Institut Supérieur des études juridiques de Gabès (2006 - 2011) Directeur de l'Institut Supérieur des études juridiques de Gabès (2011),Quatrième session parlementaire ,1
Noureddine Bhiri,Mouvement Ennahdha,Tête de liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Licence en droit privé de la Faculté de Droit et des Sciences Politiques et Economiques de Tunis,"NA",Exerce sa fonction d'avocat à la cour de cassation,Quatrième session parlementaire ,1
Nozha Biaoui,Front National du Salut,2ème sur la liste,Afek Tounes et l'appel des tunisiens à l'étranger,2016-01-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Maroua Bouazzi,Mouvement Nidaa Tounes,ème sur la liste,Mouvement Nidaa Tounes,NA,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Sameh Bouhaouel,Mouvement Nidaa Tounes,4ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA, Doctorat en droit public Doctorat en droit public,NA NA NA, ,Quatrième session parlementaire ,1
Meriem Boujbel,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Baccalauréat en mathématiques au lycée de jeunes filles de Nabeul (1997) Baccalauréat en Administration des Affaires avec une option en Finances de HEC Montréal (2003),1997 2003,Responsable Audit Interne chez SERGAZ - ENI Groupe (Janvier 2005 - Juin 2010) Risk & International Control Manager chez Siemens Tunisie (Juillet 2010 - Septembre 2014) Elle a démissionné de son ancien poste depuis son élection aux législatives 2014 pour se dédier complètement à son mandat de Députée,Quatrième session parlementaire ,1
Houssem Bounenni,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Maitrise en comptabilité,"NA",,Quatrième session parlementaire ,1
Heger Bouzemmi,Mouvement Ennahdha,4ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat en sciences expérimentales au lycée secondaire Borj Louzir Ariana (2007) Licence fondamentale en informatique et multimédia de l’Institut Supérieur des Arts Multimédias de la Manouba (2010) Master professionnel en ingénierie des médias de l’Institut Supérieur des Arts Multimédias de la Manouba (2014),2007 2010 2014,"Travail d’été au sein du bureau de services informatiques et traitement de texte SITT à l'Ariana (2008 - 2012) Conception site web pour l'Organisation des Scouts Tunisiens, section de l'Ariana (2012) Assistance administrative auprès de l'Association Kafel El Yatim à l'Ariana (2013)",Quatrième session parlementaire ,1
Monia Brahim,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,Baccalauréat littéraire au lycée Taher Sfar de Sousse (1985) Licence fondamentale en psychologie à la Faculté des Lettres et Sciences Humaines 9 avril de Tunis Première année master en psychologie du travail et la gestion des ressources humaines à la Faculté des Lettres et Sciences Humaines de Tunis (2014 - 2015),1985 9 2014,,Quatrième session parlementaire ,1
Zeineb Brahmi,Mouvement Ennahdha,2ème sur la liste,Mouvement Ennahdha,2014-12-20,NA,NA,NA,NA,"Baccalauréat en mathématiques au lycée secondaire 14 Janvier Ksar - Gafsa (2003) Maitrise en Droit de la Faculté de Droit et des Sciences Politiques, Manar II (2009) Certificat d'aptitude à la profession d'avocat de l'Institut Supérieur de la Profession d'Avocat (2011)",14 2009 2011,Avocate stagiaire (2011) Avocate auprès de la cour d'appel (2014),Quatrième session parlementaire ,1
Fathi Chamkhi,Front Populaire,Tête de liste,Front Populaire,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Naceur Channoufi,Parti l'initiative,1609 voix,Bloc Social-Démocrate,2014-12-20,2016-07-20,Mouvement Nidaa Tounes,2016-07-20,NA,,,,Quatrième session parlementaire ,1
Ghazi Chaouachi,Courant Démocratique,Tête de liste,Bloc Démocrate,2016-10-20,NA,NA,NA,NA,"Baccalauréat en Lettres au lycée El Mansoura, Kairouan (1982) Licence en droit à la Faculté de droit et des sciences économiques de Tunis (1987) Certificat d'Aptitude à la Profession d'Avocat - CAPA - à la Faculté de droit de Tunis (1988)",1982 1987 1988,Cadre bancaire à Amen Bank (1988- 1994) Avocat depuis 1994,Quatrième session parlementaire ,1
Ridha Charfeddine,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Abderraouf Chebbi,Union Patriotique Libre,Tête de liste,Union Patriotique Libre,2014-12-20,NA,NA,NA,NA, ,NA NA,,Quatrième session parlementaire ,1
Abderraouf Cherif,Mouvement Nidaa Tounes,Tête de liste,Mouvement Nidaa Tounes,2014-12-20,2016-01-20,Bloc Al Horra du Mouvement Machrouu Tounes,2016-01-20,NA,Doctorat en médecine,"NA",Professeur hospitalier agrégé Chef de service en chirurgie générale,Quatrième session parlementaire ,1
Abdennaceur Chouikh,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,2017-06-20,Allégeance à la Patrie,2018-04-20,NA,   ,NA NA NA NA,   ,Quatrième session parlementaire ,1
Abderrazak Chraiet,Liste indépendante ,5111 voix,Independent,NA,NA,NA,NA,NA,,,,Quatrième session parlementaire ,1
Imed Daimi,Congrès Pour la République,Tête de liste,Bloc Démocrate,2016-10-20,NA,NA,NA,NA,"Des études universitaires à la faculté des Sciences Maitrise en sciences économiques en Mauritanie Maitrise en histoire en Mauritanie Diplôme d'études approfondies en développement économique, social et local intégré à l'Université de Versailles Saint-Quentin (1998) Formation en génie informatique à l'Ecole Polytechnique en France (2000)",NA NA NA 1998 2000,Spécialiste en systèmes d’information Expert en système au sein d'un grand groupe international Oracle Applications (2007),Quatrième session parlementaire ,1
Sameh Dammak,Mouvement Nidaa Tounes,2ème sur la liste,Mouvement Nidaa Tounes,2014-12-20,NA,NA,NA,NA,Maitrise en beaux arts,"NA",Directrice de l'agence publicitaire Grafity depuis 1998,Quatrième session parlementaire ,1
